;a;b;di;ht;lev;rh;rmse;spd
154;-9999;-9999;-9999;0.424865179342;0.5;38.6235292784;-9999;-9999
155;-9999;-9999;-9999;0.428187067862;0.5;38.8735197591;-9999;-9999
156;-9999;-9999;-9999;0.431516312266;0.5;39.1235102399;-9999;-9999
157;-9999;-9999;-9999;0.434852912549;0.5;39.3735007207;-9999;-9999
158;-9999;-9999;-9999;0.438196868698;0.5;39.6234912014;-9999;-9999
159;-9999;-9999;-9999;0.441548180705;0.5;39.8734816822;-9999;-9999
160;-9999;-9999;-9999;0.444906848563;0.5;40.1234721629;-9999;-9999
161;-9999;-9999;-9999;0.448272872263;0.5;40.3734626437;-9999;-9999
162;-9999;-9999;-9999;0.451646251795;0.5;40.6234531245;-9999;-9999
163;-9999;-9999;-9999;0.455026987152;0.5;40.8734436052;-9999;-9999
164;-9999;-9999;-9999;0.458415078325;0.5;41.123434086;-9999;-9999
165;-9999;-9999;-9999;0.461810525301;0.5;41.3734245668;-9999;-9999
166;-9999;-9999;-9999;0.465213328078;0.5;41.6234150475;-9999;-9999
167;-9999;-9999;-9999;0.468623486642;0.5;41.8734055283;-9999;-9999
168;-9999;-9999;-9999;0.472041000989;0.5;42.1233960091;-9999;-9999
169;-9999;-9999;-9999;0.475465871103;0.5;42.3733864898;-9999;-9999
170;-9999;-9999;-9999;0.478898096981;0.5;42.6233769706;-9999;-9999
171;-9999;-9999;-9999;0.482337678612;0.5;42.8733674514;-9999;-9999
172;-9999;-9999;-9999;0.485784615987;0.5;43.1233579321;-9999;-9999
173;-9999;-9999;-9999;0.489238909098;0.5;43.3733484129;-9999;-9999
174;-9999;-9999;-9999;0.492700557936;0.5;43.6233388937;-9999;-9999
175;-9999;-9999;-9999;0.49616956249;0.5;43.8733293744;-9999;-9999
176;-9999;-9999;-9999;0.499645922753;0.5;44.1233198552;-9999;-9999
177;-9999;-9999;-9999;0.503129638715;0.5;44.373310336;-9999;-9999
178;-9999;-9999;-9999;0.506620710368;0.5;44.6233008167;-9999;-9999
179;-9999;-9999;-9999;0.510119137702;0.5;44.8732912975;-9999;-9999
180;-9999;-9999;-9999;0.513624920708;0.5;45.1232817783;-9999;-9999
181;-9999;-9999;-9999;0.517138059377;0.5;45.373272259;-9999;-9999
182;-9999;-9999;-9999;0.5206585537;0.5;45.6232627398;-9999;-9999
183;-9999;-9999;-9999;0.524186403667;0.5;45.8732532206;-9999;-9999
184;-9999;-9999;-9999;0.527721609271;0.5;46.1232437013;-9999;-9999
185;-9999;-9999;-9999;0.5312641705;0.5;46.3732341821;-9999;-9999
186;-9999;-9999;-9999;0.534814087347;0.5;46.6232246629;-9999;-9999
187;-9999;-9999;-9999;0.538371359802;0.5;46.8732151436;-9999;-9999
188;-9999;-9999;-9999;0.541935987854;0.5;47.1232056244;-9999;-9999
189;-9999;-9999;-9999;0.545507971499;0.5;47.3731961052;-9999;-9999
190;-9999;-9999;-9999;0.549087310721;0.5;47.6231865859;-9999;-9999
191;-9999;-9999;-9999;0.552674005516;0.5;47.8731770667;-9999;-9999
192;-9999;-9999;-9999;0.556268055872;0.5;48.1231675475;-9999;-9999
193;-9999;-9999;-9999;0.55986946178;0.5;48.3731580282;-9999;-9999
194;-9999;-9999;-9999;0.563478223232;0.5;48.623148509;-9999;-9999
195;-9999;-9999;-9999;0.567094340215;0.5;48.8731389898;-9999;-9999
196;-9999;-9999;-9999;0.570717812725;0.5;49.1231294705;-9999;-9999
197;-9999;-9999;-9999;0.574348640748;0.5;49.3731199513;-9999;-9999
198;-9999;-9999;-9999;0.577986824277;0.5;49.6231104321;-9999;-9999
199;-9999;-9999;-9999;0.581632363301;0.5;49.8731009128;-9999;-9999
200;-9999;-9999;-9999;0.585285257814;0.5;50.1230913936;-9999;-9999
201;-9999;-9999;-9999;0.588945507801;0.5;50.3730818744;-9999;-9999
202;-9999;-9999;-9999;0.592613113256;0.5;50.6230723551;-9999;-9999
203;-9999;-9999;-9999;0.59628807417;0.5;50.8730628359;-9999;-9999
204;-9999;-9999;-9999;0.599970390531;0.5;51.1230533167;-9999;-9999
205;-9999;-9999;-9999;0.603660062332;0.5;51.3730437974;-9999;-9999
206;-9999;-9999;-9999;0.607357089561;0.5;51.6230342782;-9999;-9999
207;-9999;-9999;-9999;0.611061472209;0.5;51.873024759;-9999;-9999
208;-9999;-9999;-9999;0.614773210269;0.5;52.1230152397;-9999;-9999
209;-9999;-9999;-9999;0.618492303727;0.5;52.3730057205;-9999;-9999
210;-9999;-9999;-9999;0.622218752578;0.5;52.6229962013;-9999;-9999
211;-9999;-9999;-9999;0.625952556808;0.5;52.872986682;-9999;-9999
212;-9999;-9999;-9999;0.629693716412;0.5;53.1229771628;-9999;-9999
213;-9999;-9999;-9999;0.633442231374;0.5;53.3729676436;-9999;-9999
214;-9999;-9999;-9999;0.637198101689;0.5;53.6229581243;-9999;-9999
215;-9999;-9999;-9999;0.640961327346;0.5;53.8729486051;-9999;-9999
216;-9999;-9999;-9999;0.644731908338;0.5;54.1229390858;-9999;-9999
217;-9999;-9999;-9999;0.64850984465;0.5;54.3729295666;-9999;-9999
218;-9999;-9999;-9999;0.652295136273;0.5;54.6229200474;-9999;-9999
219;-9999;-9999;-9999;0.656087783202;0.5;54.8729105281;-9999;-9999
220;-9999;-9999;-9999;0.659887785423;0.5;55.1229010089;-9999;-9999
221;-9999;-9999;-9999;0.663695142926;0.5;55.3728914897;-9999;-9999
222;-9999;-9999;-9999;0.667509855704;0.5;55.6228819704;-9999;-9999
223;-9999;-9999;-9999;0.671331923744;0.5;55.8728724512;-9999;-9999
224;-9999;-9999;-9999;0.675161347039;0.5;56.122862932;-9999;-9999
225;-9999;-9999;-9999;0.678998125577;0.5;56.3728534127;-9999;-9999
226;-9999;-9999;-9999;0.682842259346;0.5;56.6228438935;-9999;-9999
227;-9999;-9999;-9999;0.686693748341;0.5;56.8728343743;-9999;-9999
228;-9999;-9999;-9999;0.690552592549;0.5;57.122824855;-9999;-9999
229;-9999;-9999;-9999;0.69441879196;0.5;57.3728153358;-9999;-9999
230;-9999;-9999;-9999;0.698292346566;0.5;57.6228058166;-9999;-9999
231;-9999;-9999;-9999;0.702173256352;0.5;57.8727962973;-9999;-9999
232;-9999;-9999;-9999;0.706061521314;0.5;58.1227867781;-9999;-9999
233;-9999;-9999;-9999;0.709957141438;0.5;58.3727772589;-9999;-9999
234;-9999;-9999;-9999;0.713860116715;0.5;58.6227677396;-9999;-9999
235;-9999;-9999;-9999;0.717770447136;0.5;58.8727582204;-9999;-9999
236;-9999;-9999;-9999;0.721688132689;0.5;59.1227487012;-9999;-9999
237;-9999;-9999;-9999;0.725613173367;0.5;59.3727391819;-9999;-9999
238;-9999;-9999;-9999;0.729545569155;0.5;59.6227296627;-9999;-9999
239;-9999;-9999;-9999;0.733485320045;0.5;59.8727201435;-9999;-9999
240;-9999;-9999;-9999;0.737432426027;0.5;60.1227106242;-9999;-9999
241;-9999;-9999;-9999;0.741386887092;0.5;60.372701105;-9999;-9999
242;-9999;-9999;-9999;0.745348703227;0.5;60.6226915858;-9999;-9999
243;-9999;-9999;-9999;0.749317874424;0.5;60.8726820665;-9999;-9999
244;-9999;-9999;-9999;0.753294400673;0.5;61.1226725473;-9999;-9999
245;-9999;-9999;-9999;0.757278281959;0.5;61.3726630281;-9999;-9999
246;-9999;-9999;-9999;0.761269518278;0.5;61.6226535088;-9999;-9999
247;-9999;-9999;-9999;0.765268109615;0.5;61.8726439896;-9999;-9999
248;-9999;-9999;-9999;0.769274055963;0.5;62.1226344704;-9999;-9999
249;-9999;-9999;-9999;0.77328735731;0.5;62.3726249511;-9999;-9999
250;-9999;-9999;-9999;0.777308013645;0.5;62.6226154319;-9999;-9999
251;-9999;-9999;-9999;0.781336024958;0.5;62.8726059127;-9999;-9999
252;-9999;-9999;-9999;0.785371391239;0.5;63.1225963934;-9999;-9999
253;-9999;-9999;-9999;0.789414112478;0.5;63.3725868742;-9999;-9999
254;-9999;-9999;-9999;0.793464188662;0.5;63.622577355;-9999;-9999
255;-9999;-9999;-9999;0.797521619783;0.5;63.8725678357;-9999;-9999
256;-9999;-9999;-9999;0.801586405831;0.5;64.1225583165;-9999;-9999
257;-9999;-9999;-9999;0.805658546791;0.5;64.3725487973;-9999;-9999
258;-9999;-9999;-9999;0.809738042657;0.5;64.622539278;-9999;-9999
259;-9999;-9999;-9999;0.813824893417;0.5;64.8725297588;-9999;-9999
260;-9999;-9999;-9999;0.817919099061;0.5;65.1225202396;-9999;-9999
261;-9999;-9999;-9999;0.822020659578;0.5;65.3725107203;-9999;-9999
262;-9999;-9999;-9999;0.826129574956;0.5;65.6225012011;-9999;-9999
263;-9999;-9999;-9999;0.830245845185;0.5;65.8724916819;-9999;-9999
264;-9999;-9999;-9999;0.834369470256;0.5;66.1224821626;-9999;-9999
265;-9999;-9999;-9999;0.838500450154;0.5;66.3724726434;-9999;-9999
266;-9999;-9999;-9999;0.842638784874;0.5;66.6224631242;-9999;-9999
267;-9999;-9999;-9999;0.846784474403;0.5;66.8724536049;-9999;-9999
268;-9999;-9999;-9999;0.850937518728;0.5;67.1224440857;-9999;-9999
269;-9999;-9999;-9999;0.85509791784;0.5;67.3724345664;-9999;-9999
270;-9999;-9999;-9999;0.859265671728;0.5;67.6224250472;-9999;-9999
271;-9999;-9999;-9999;0.863440780382;0.5;67.872415528;-9999;-9999
272;-9999;-9999;-9999;0.86762324379;0.5;68.1224060087;-9999;-9999
273;-9999;-9999;-9999;0.871813061942;0.5;68.3723964895;-9999;-9999
274;-9999;-9999;-9999;0.876010234826;0.5;68.6223869703;-9999;-9999
275;-9999;-9999;-9999;0.880214762432;0.5;68.872377451;-9999;-9999
276;-9999;-9999;-9999;0.884426644749;0.5;69.1223679318;-9999;-9999
277;-9999;-9999;-9999;0.888645881765;0.5;69.3723584126;-9999;-9999
278;-9999;-9999;-9999;0.892872473472;0.5;69.6223488933;-9999;-9999
279;-9999;-9999;-9999;0.897106419856;0.5;69.8723393741;-9999;-9999
280;-9999;-9999;-9999;0.901347720906;0.5;70.1223298549;-9999;-9999
281;-9999;-9999;-9999;0.905596376613;0.5;70.3723203356;-9999;-9999
282;-9999;-9999;-9999;0.909852386965;0.5;70.6223108164;-9999;-9999
283;-9999;-9999;-9999;0.914115751952;0.5;70.8723012972;-9999;-9999
284;-9999;-9999;-9999;0.91838647156;0.5;71.1222917779;-9999;-9999
285;-9999;-9999;-9999;0.92266454578;0.5;71.3722822587;-9999;-9999
286;-9999;-9999;-9999;0.926949974601;0.5;71.6222727395;-9999;-9999
287;-9999;-9999;-9999;0.931242758012;0.5;71.8722632202;-9999;-9999
288;-9999;-9999;-9999;0.935542896001;0.5;72.122253701;-9999;-9999
289;-9999;-9999;-9999;0.939850388557;0.5;72.3722441818;-9999;-9999
290;-9999;-9999;-9999;0.944165235669;0.5;72.6222346625;-9999;-9999
291;-9999;-9999;-9999;0.948487437325;0.5;72.8722251433;-9999;-9999
292;-9999;-9999;-9999;0.952816993515;0.5;73.1222156241;-9999;-9999
293;-9999;-9999;-9999;0.957153904228;0.5;73.3722061048;-9999;-9999
294;-9999;-9999;-9999;0.961498169452;0.5;73.6221965856;-9999;-9999
295;-9999;-9999;-9999;0.965849789174;0.5;73.8721870664;-9999;-9999
296;-9999;-9999;-9999;0.970208763387;0.5;74.1221775471;-9999;-9999
297;-9999;-9999;-9999;0.974575092076;0.5;74.3721680279;-9999;-9999
298;-9999;-9999;-9999;0.978948775231;0.5;74.6221585087;-9999;-9999
299;-9999;-9999;-9999;0.98332981284;0.5;74.8721489894;-9999;-9999
300;-9999;-9999;-9999;0.987718204893;0.5;75.1221394702;-9999;-9999
301;-9999;-9999;-9999;0.992113951377;0.5;75.372129951;-9999;-9999
302;-9999;-9999;-9999;0.996517052281;0.5;75.6221204317;-9999;-9999
303;-9999;-9999;-9999;1.0009275076;0.5;75.8721109125;-9999;-9999
304;-9999;-9999;-9999;1.0053453173;0.5;76.1221013933;-9999;-9999
305;-9999;-9999;-9999;1.0097704814;0.5;76.372091874;-9999;-9999
306;-9999;-9999;-9999;1.01420299987;0.5;76.6220823548;-9999;-9999
307;-9999;-9999;-9999;1.0186428727;0.5;76.8720728356;-9999;-9999
308;-9999;-9999;-9999;1.02309009989;0.5;77.1220633163;-9999;-9999
309;-9999;-9999;-9999;1.02754468142;0.5;77.3720537971;-9999;-9999
310;-9999;-9999;-9999;1.03200661727;0.5;77.6220442779;-9999;-9999
311;-9999;-9999;-9999;1.03647590744;0.5;77.8720347586;-9999;-9999
312;-9999;-9999;-9999;1.04095255191;0.5;78.1220252394;-9999;-9999
313;-9999;-9999;-9999;1.04543655068;0.5;78.3720157202;-9999;-9999
314;-9999;-9999;-9999;1.04992790373;0.5;78.6220062009;-9999;-9999
315;-9999;-9999;-9999;1.05442661105;0.5;78.8719966817;-9999;-9999
316;-9999;-9999;-9999;1.05893267263;0.5;79.1219871625;-9999;-9999
317;-9999;-9999;-9999;1.06344608846;0.5;79.3719776432;-9999;-9999
318;-9999;-9999;-9999;1.06796685852;0.5;79.621968124;-9999;-9999
319;-9999;-9999;-9999;1.0724949828;0.5;79.8719586048;-9999;-9999
320;-9999;-9999;-9999;1.07703046129;0.5;80.1219490855;-9999;-9999
321;-9999;-9999;-9999;1.08157329399;0.5;80.3719395663;-9999;-9999
322;-9999;-9999;-9999;1.08612348087;0.5;80.621930047;-9999;-9999
323;-9999;-9999;-9999;1.09068102193;0.5;80.8719205278;-9999;-9999
324;-9999;-9999;-9999;1.09524591715;0.5;81.1219110086;-9999;-9999
