;a;b;di;elev;ht;rh;rmse;rs;spd
262;-9999;-9999;-9999;0.5;0.826129574956;65.6225012011;-9999;-9999;-9999
263;-9999;-9999;-9999;0.5;0.830245845185;65.8724916819;-9999;-9999;-9999
264;-9999;-9999;-9999;0.5;0.834369470256;66.1224821626;-9999;-9999;-9999
265;-9999;-9999;-9999;0.5;0.838500450154;66.3724726434;-9999;-9999;-9999
266;-9999;-9999;-9999;0.5;0.842638784874;66.6224631242;-9999;-9999;-9999
267;-9999;-9999;-9999;0.5;0.846784474403;66.8724536049;-9999;-9999;-9999
268;-9999;-9999;-9999;0.5;0.850937518728;67.1224440857;-9999;-9999;-9999
269;-9999;-9999;-9999;0.5;0.85509791784;67.3724345664;-9999;-9999;-9999
270;-9999;-9999;-9999;0.5;0.859265671728;67.6224250472;-9999;-9999;-9999
271;-9999;-9999;-9999;0.5;0.863440780382;67.872415528;-9999;-9999;-9999
272;-9999;-9999;-9999;0.5;0.86762324379;68.1224060087;-9999;-9999;-9999
273;-9999;-9999;-9999;0.5;0.871813061942;68.3723964895;-9999;-9999;-9999
274;-9999;-9999;-9999;0.5;0.876010234826;68.6223869703;-9999;-9999;-9999
275;-9999;-9999;-9999;0.5;0.880214762432;68.872377451;-9999;-9999;-9999
276;-9999;-9999;-9999;0.5;0.884426644749;69.1223679318;-9999;-9999;-9999
277;-9999;-9999;-9999;0.5;0.888645881765;69.3723584126;-9999;-9999;-9999
278;-9999;-9999;-9999;0.5;0.892872473472;69.6223488933;-9999;-9999;-9999
279;-9999;-9999;-9999;0.5;0.897106419856;69.8723393741;-9999;-9999;-9999
280;-9999;-9999;-9999;0.5;0.901347720906;70.1223298549;-9999;-9999;-9999
281;-9999;-9999;-9999;0.5;0.905596376613;70.3723203356;-9999;-9999;-9999
282;-9999;-9999;-9999;0.5;0.909852386965;70.6223108164;-9999;-9999;-9999
283;-9999;-9999;-9999;0.5;0.914115751952;70.8723012972;-9999;-9999;-9999
284;-9999;-9999;-9999;0.5;0.91838647156;71.1222917779;-9999;-9999;-9999
285;-9999;-9999;-9999;0.5;0.92266454578;71.3722822587;-9999;-9999;-9999
286;-9999;-9999;-9999;0.5;0.926949974601;71.6222727395;-9999;-9999;-9999
287;-9999;-9999;-9999;0.5;0.931242758012;71.8722632202;-9999;-9999;-9999
288;-9999;-9999;-9999;0.5;0.935542896001;72.122253701;-9999;-9999;-9999
289;-9999;-9999;-9999;0.5;0.939850388557;72.3722441818;-9999;-9999;-9999
290;-9999;-9999;-9999;0.5;0.944165235669;72.6222346625;-9999;-9999;-9999
291;-9999;-9999;-9999;0.5;0.948487437325;72.8722251433;-9999;-9999;-9999
292;-9999;-9999;-9999;0.5;0.952816993515;73.1222156241;-9999;-9999;-9999
293;-9999;-9999;-9999;0.5;0.957153904228;73.3722061048;-9999;-9999;-9999
294;-9999;-9999;-9999;0.5;0.961498169452;73.6221965856;-9999;-9999;-9999
295;-9999;-9999;-9999;0.5;0.965849789174;73.8721870664;-9999;-9999;-9999
296;-9999;-9999;-9999;0.5;0.970208763387;74.1221775471;-9999;-9999;-9999
297;-9999;-9999;-9999;0.5;0.974575092076;74.3721680279;-9999;-9999;-9999
298;-9999;-9999;-9999;0.5;0.978948775231;74.6221585087;-9999;-9999;-9999
299;-9999;-9999;-9999;0.5;0.98332981284;74.8721489894;-9999;-9999;-9999
300;-9999;-9999;-9999;0.5;0.987718204893;75.1221394702;-9999;-9999;-9999
301;-9999;-9999;-9999;0.5;0.992113951377;75.372129951;-9999;-9999;-9999
302;-9999;-9999;-9999;0.5;0.996517052281;75.6221204317;-9999;-9999;-9999
303;-9999;-9999;-9999;0.5;1.0009275076;75.8721109125;-9999;-9999;-9999
304;-9999;-9999;-9999;0.5;1.0053453173;76.1221013933;-9999;-9999;-9999
305;-9999;-9999;-9999;0.5;1.0097704814;76.372091874;-9999;-9999;-9999
306;-9999;-9999;-9999;0.5;1.01420299987;76.6220823548;-9999;-9999;-9999
307;-9999;-9999;-9999;0.5;1.0186428727;76.8720728356;-9999;-9999;-9999
308;-9999;-9999;-9999;0.5;1.02309009989;77.1220633163;-9999;-9999;-9999
309;-9999;-9999;-9999;0.5;1.02754468142;77.3720537971;-9999;-9999;-9999
310;-9999;-9999;-9999;0.5;1.03200661727;77.6220442779;-9999;-9999;-9999
311;-9999;-9999;-9999;0.5;1.03647590744;77.8720347586;-9999;-9999;-9999
312;-9999;-9999;-9999;0.5;1.04095255191;78.1220252394;-9999;-9999;-9999
313;-9999;-9999;-9999;0.5;1.04543655068;78.3720157202;-9999;-9999;-9999
314;-9999;-9999;-9999;0.5;1.04992790373;78.6220062009;-9999;-9999;-9999
