"","lon","lat","h"
"2274",295.703563218391,-36.7616666666667,195
"2275",295.720344827586,-36.7616666666667,183
"2276",295.737126436782,-36.7616666666667,170
"2277",295.753908045977,-36.7616666666667,162
"2278",295.770689655172,-36.7616666666667,160
"2279",295.787471264368,-36.7616666666667,159
"2280",295.804252873563,-36.7616666666667,165
"2281",295.821034482759,-36.7616666666667,180
"2282",295.837816091954,-36.7616666666667,184
"2283",295.854597701149,-36.7616666666667,181
"2284",295.871379310345,-36.7616666666667,180
"2285",295.88816091954,-36.7616666666667,176
"2286",295.904942528736,-36.7616666666667,171
"2287",295.921724137931,-36.7616666666667,168
"2288",295.938505747126,-36.7616666666667,154
"2289",295.955287356322,-36.7616666666667,139
"2290",295.972068965517,-36.7616666666667,130
"2291",295.988850574713,-36.7616666666667,138
"2292",296.005632183908,-36.7616666666667,137
"2293",296.022413793103,-36.7616666666667,135
"2294",296.039195402299,-36.7616666666667,138
"2295",296.055977011494,-36.7616666666667,139
"2296",296.07275862069,-36.7616666666667,140
"2297",296.089540229885,-36.7616666666667,140
"2298",296.10632183908,-36.7616666666667,142
"2299",296.123103448276,-36.7616666666667,143
"2300",296.139885057471,-36.7616666666667,135
"2301",296.156666666667,-36.7616666666667,128
"2302",295.183333333333,-36.7783333333333,304
"2303",295.200114942529,-36.7783333333333,275
"2304",295.216896551724,-36.7783333333333,248
"2305",295.23367816092,-36.7783333333333,267
"2306",295.250459770115,-36.7783333333333,296
"2307",295.26724137931,-36.7783333333333,293
"2308",295.284022988506,-36.7783333333333,289
"2309",295.300804597701,-36.7783333333333,268
"2310",295.317586206897,-36.7783333333333,242
"2311",295.334367816092,-36.7783333333333,214
"2312",295.351149425287,-36.7783333333333,197
"2313",295.367931034483,-36.7783333333333,190
"2314",295.384712643678,-36.7783333333333,199
"2315",295.401494252874,-36.7783333333333,216
"2316",295.418275862069,-36.7783333333333,233
"2317",295.435057471264,-36.7783333333333,243
"2318",295.45183908046,-36.7783333333333,238
"2319",295.468620689655,-36.7783333333333,228
"2320",295.485402298851,-36.7783333333333,212
"2321",295.502183908046,-36.7783333333333,203
"2322",295.518965517241,-36.7783333333333,194
"2323",295.535747126437,-36.7783333333333,181
"2324",295.552528735632,-36.7783333333333,170
"2325",295.569310344828,-36.7783333333333,154
"2326",295.586091954023,-36.7783333333333,152
"2327",295.602873563218,-36.7783333333333,146
"2328",295.619655172414,-36.7783333333333,165
"2329",295.636436781609,-36.7783333333333,190
"2330",295.653218390805,-36.7783333333333,208
"2331",295.67,-36.7783333333333,202
"2332",295.686781609195,-36.7783333333333,202
"2333",295.703563218391,-36.7783333333333,203
"2334",295.720344827586,-36.7783333333333,193
"2335",295.737126436782,-36.7783333333333,182
"2336",295.753908045977,-36.7783333333333,180
"2337",295.770689655172,-36.7783333333333,164
"2338",295.787471264368,-36.7783333333333,176
"2339",295.804252873563,-36.7783333333333,183
"2340",295.821034482759,-36.7783333333333,188
"2341",295.837816091954,-36.7783333333333,186
"2342",295.854597701149,-36.7783333333333,182
"2343",295.871379310345,-36.7783333333333,176
"2344",295.88816091954,-36.7783333333333,168
"2345",295.904942528736,-36.7783333333333,157
"2346",295.921724137931,-36.7783333333333,150
"2347",295.938505747126,-36.7783333333333,142
"2348",295.955287356322,-36.7783333333333,128
"2349",295.972068965517,-36.7783333333333,134
"2350",295.988850574713,-36.7783333333333,134
"2351",296.005632183908,-36.7783333333333,134
"2352",296.022413793103,-36.7783333333333,135
"2353",296.039195402299,-36.7783333333333,135
"2354",296.055977011494,-36.7783333333333,134
"2355",296.07275862069,-36.7783333333333,139
"2356",296.089540229885,-36.7783333333333,143
"2357",296.10632183908,-36.7783333333333,143
"2358",296.123103448276,-36.7783333333333,143
"2359",296.139885057471,-36.7783333333333,139
"2360",296.156666666667,-36.7783333333333,140
"2361",295.183333333333,-36.795,308
"2362",295.200114942529,-36.795,291
"2363",295.216896551724,-36.795,260
"2364",295.23367816092,-36.795,263
"2365",295.250459770115,-36.795,275
"2366",295.26724137931,-36.795,284
"2367",295.284022988506,-36.795,290
"2368",295.300804597701,-36.795,271
"2369",295.317586206897,-36.795,235
"2370",295.334367816092,-36.795,206
"2371",295.351149425287,-36.795,194
"2372",295.367931034483,-36.795,198
"2373",295.384712643678,-36.795,209
"2374",295.401494252874,-36.795,214
"2375",295.418275862069,-36.795,213
"2376",295.435057471264,-36.795,209
"2377",295.45183908046,-36.795,199
"2378",295.468620689655,-36.795,195
"2379",295.485402298851,-36.795,206
"2380",295.502183908046,-36.795,224
"2381",295.518965517241,-36.795,220
"2382",295.535747126437,-36.795,192
"2383",295.552528735632,-36.795,171
"2384",295.569310344828,-36.795,165
"2385",295.586091954023,-36.795,156
"2386",295.602873563218,-36.795,162
"2387",295.619655172414,-36.795,184
"2388",295.636436781609,-36.795,201
"2389",295.653218390805,-36.795,208
"2390",295.67,-36.795,209
"2391",295.686781609195,-36.795,197
"2392",295.703563218391,-36.795,187
"2393",295.720344827586,-36.795,175
"2394",295.737126436782,-36.795,168
"2395",295.753908045977,-36.795,160
"2396",295.770689655172,-36.795,155
"2397",295.787471264368,-36.795,175
"2398",295.804252873563,-36.795,184
"2399",295.821034482759,-36.795,186
"2400",295.837816091954,-36.795,183
"2401",295.854597701149,-36.795,177
"2402",295.871379310345,-36.795,170
"2403",295.88816091954,-36.795,163
"2404",295.904942528736,-36.795,155
"2405",295.921724137931,-36.795,142
"2406",295.938505747126,-36.795,133
"2407",295.955287356322,-36.795,130
"2408",295.972068965517,-36.795,133
"2409",295.988850574713,-36.795,134
"2410",296.005632183908,-36.795,134
"2411",296.022413793103,-36.795,131
"2412",296.039195402299,-36.795,129
"2413",296.055977011494,-36.795,135
"2414",296.07275862069,-36.795,142
"2415",296.089540229885,-36.795,142
"2416",296.10632183908,-36.795,144
"2417",296.123103448276,-36.795,147
"2418",296.139885057471,-36.795,144
"2419",296.156666666667,-36.795,142
"2420",295.183333333333,-36.8116666666667,310
"2421",295.200114942529,-36.8116666666667,294
"2422",295.216896551724,-36.8116666666667,289
"2423",295.23367816092,-36.8116666666667,274
"2424",295.250459770115,-36.8116666666667,295
"2425",295.26724137931,-36.8116666666667,292
